Слово,Семантическая роль,Полная семантическая разметка
потом,аспект,t:time
Приёмыш,агенс,der:v;t:hum;r:concr
Приёмыш,аудитория,der:v;t:hum;r:concr
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
дурак,агенс,d:masc;t:hum;r:concr;ev:neg
дурак,аудитория,d:masc;t:hum;r:concr;ev:neg
Варвара,агенс,t:hum;r:propn;t:persn
Варвара,адресат,t:hum;r:propn;t:persn
Варвара,аудитория,t:hum;r:propn;t:persn
Катерина,агенс,t:hum;r:propn;t:persn
Катерина,адресат,t:hum;r:propn;t:persn
Катерина,аудитория,t:hum;r:propn;t:persn
девушка,агенс,t:hum;r:concr;der:s
девушка,аудитория,t:hum;r:concr;der:s
Варвара,агенс,t:hum;r:propn;t:persn
Варвара,адресат,t:hum;r:propn;t:persn
Варвара,аудитория,t:hum;r:propn;t:persn
Катерина,агенс,t:hum;r:propn;t:persn
Катерина,адресат,t:hum;r:propn;t:persn
Катерина,аудитория,t:hum;r:propn;t:persn
Варвара,агенс,t:hum;r:propn;t:persn
Варвара,адресат,t:hum;r:propn;t:persn
Варвара,аудитория,t:hum;r:propn;t:persn
Катерина,агенс,t:hum;r:propn;t:persn
Катерина,адресат,t:hum;r:propn;t:persn
Катерина,аудитория,t:hum;r:propn;t:persn
дома,адресат,t:place;der:s
теперь,аспект,t:time;r:dem
Варвара,агенс,t:hum;r:propn;t:persn
Варвара,адресат,t:hum;r:propn;t:persn
Варвара,аудитория,t:hum;r:propn;t:persn
Катерина,агенс,t:hum;r:propn;t:persn
Катерина,адресат,t:hum;r:propn;t:persn
Катерина,аудитория,t:hum;r:propn;t:persn
Варвара,агенс,t:hum;r:propn;t:persn
Варвара,адресат,t:hum;r:propn;t:persn
Варвара,аудитория,t:hum;r:propn;t:persn
Катерина,агенс,t:hum;r:propn;t:persn
Катерина,адресат,t:hum;r:propn;t:persn
Катерина,аудитория,t:hum;r:propn;t:persn
Варя,агенс,d:dimb;t:hum;r:propn;t:persn
Варя,адресат,d:dimb;t:hum;r:propn;t:persn
Варя,аудитория,d:dimb;t:hum;r:propn;t:persn
Варенька,агенс,d:dimb;t:hum;r:propn;t:persn
Варенька,адресат,d:dimb;t:hum;r:propn;t:persn
Варенька,аудитория,d:dimb;t:hum;r:propn;t:persn
Варвара,агенс,t:hum;r:propn;t:persn
Варвара,адресат,t:hum;r:propn;t:persn
Варвара,аудитория,t:hum;r:propn;t:persn
Катерина,агенс,t:hum;r:propn;t:persn
Катерина,адресат,t:hum;r:propn;t:persn
Катерина,аудитория,t:hum;r:propn;t:persn
Варвара,агенс,t:hum;r:propn;t:persn
Варвара,адресат,t:hum;r:propn;t:persn
Варвара,аудитория,t:hum;r:propn;t:persn
завтра,аспект,t:time
братец,агенс,t:hum;ev:posit;r:concr;der:s;d:dim
братец,аудитория,t:hum;ev:posit;r:concr;der:s;d:dim
Катерина,агенс,t:hum;r:propn;t:persn
Катерина,адресат,t:hum;r:propn;t:persn
Катерина,аудитория,t:hum;r:propn;t:persn
Варвара,агенс,t:hum;r:propn;t:persn
Варвара,адресат,t:hum;r:propn;t:persn
Варвара,аудитория,t:hum;r:propn;t:persn
Катерина,агенс,t:hum;r:propn;t:persn
Катерина,адресат,t:hum;r:propn;t:persn
Катерина,аудитория,t:hum;r:propn;t:persn
Варвара,агенс,t:hum;r:propn;t:persn
Варвара,адресат,t:hum;r:propn;t:persn
Варвара,аудитория,t:hum;r:propn;t:persn
Катерина,агенс,t:hum;r:propn;t:persn
Катерина,адресат,t:hum;r:propn;t:persn
Катерина,аудитория,t:hum;r:propn;t:persn
Варвара,агенс,t:hum;r:propn;t:persn
Варвара,адресат,t:hum;r:propn;t:persn
Варвара,аудитория,t:hum;r:propn;t:persn
Кабанова,агенс,t:hum;r:propn;t:famn
Кабанова,аудитория,t:hum;r:propn;t:famn
Феклуша,агенс,t:hum;r:propn;t:persn
Феклуша,адресат,t:hum;r:propn;t:persn
Феклуша,аудитория,t:hum;r:propn;t:persn
Феклуша,агенс,t:hum;r:propn;t:persn
Феклуша,адресат,t:hum;r:propn;t:persn
Феклуша,аудитория,t:hum;r:propn;t:persn
времена,аспект,r:abstr;t:param;t:time
Марфа,агенс,t:hum;r:propn;t:persn
Марфа,адресат,t:hum;r:propn;t:persn
Марфа,аудитория,t:hum;r:propn;t:persn
Игнатьевна,агенс,t:hum;t:patrn;r:propn;der:s
Игнатьевна,аудитория,t:hum;t:patrn;r:propn;der:s
Кабанова,агенс,t:hum;r:propn;t:famn
Кабанова,аудитория,t:hum;r:propn;t:famn
Феклуша,агенс,t:hum;r:propn;t:persn
Феклуша,адресат,t:hum;r:propn;t:persn
Феклуша,аудитория,t:hum;r:propn;t:persn
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
Марфа,агенс,t:hum;r:propn;t:persn
Марфа,адресат,t:hum;r:propn;t:persn
Марфа,аудитория,t:hum;r:propn;t:persn
Игнатьевна,агенс,t:hum;t:patrn;r:propn;der:s
Игнатьевна,аудитория,t:hum;t:patrn;r:propn;der:s
людей,агенс,t:hum;r:concr
людей,аудитория,t:hum;r:concr
знакомого,агенс,der:v;t:hum;r:concr;der:subst
знакомого,аудитория,der:v;t:hum;r:concr;der:subst
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
сейчас,аспект,der:comp;t:time
вечер,аспект,pc:day;r:abstr;pt:part;t:time
теперь,аспект,t:time;r:dem
Марфа,агенс,t:hum;r:propn;t:persn
Марфа,адресат,t:hum;r:propn;t:persn
Марфа,аудитория,t:hum;r:propn;t:persn
Игнатьевна,агенс,t:hum;t:patrn;r:propn;der:s
Игнатьевна,аудитория,t:hum;t:patrn;r:propn;der:s
Кабанова,агенс,t:hum;r:propn;t:famn
Кабанова,аудитория,t:hum;r:propn;t:famn
Феклуша,агенс,t:hum;r:propn;t:persn
Феклуша,адресат,t:hum;r:propn;t:persn
Феклуша,аудитория,t:hum;r:propn;t:persn
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
Кабанова,агенс,t:hum;r:propn;t:famn
Кабанова,аудитория,t:hum;r:propn;t:famn
Феклуша,агенс,t:hum;r:propn;t:persn
Феклуша,адресат,t:hum;r:propn;t:persn
Феклуша,аудитория,t:hum;r:propn;t:persn
Марфа,агенс,t:hum;r:propn;t:persn
Марфа,адресат,t:hum;r:propn;t:persn
Марфа,аудитория,t:hum;r:propn;t:persn
Игнатьевна,агенс,t:hum;t:patrn;r:propn;der:s
Игнатьевна,аудитория,t:hum;t:patrn;r:propn;der:s
рано,аспект,dt:time;ev:neg;der:a;t:time
поутру,аспект,der:s;t:time
черен,атрибут,t:physq:color;r:qual
Тут,адресат,t:place;r:dem
днём,аспект,pc:day;r:abstr;pt:part;t:time
женщины,агенс,t:hum;r:concr
женщины,аудитория,t:hum;r:concr
Кабанова,агенс,t:hum;r:propn;t:famn
Кабанова,аудитория,t:hum;r:propn;t:famn
времена,аспект,r:abstr;t:param;t:time
Феклуша,агенс,t:hum;r:propn;t:persn
Феклуша,адресат,t:hum;r:propn;t:persn
Феклуша,аудитория,t:hum;r:propn;t:persn
времена,аспект,r:abstr;t:param;t:time
Марфа,агенс,t:hum;r:propn;t:persn
Марфа,адресат,t:hum;r:propn;t:persn
Марфа,аудитория,t:hum;r:propn;t:persn
Игнатьевна,агенс,t:hum;t:patrn;r:propn;der:s
Игнатьевна,аудитория,t:hum;t:patrn;r:propn;der:s
время,аспект,r:abstr;t:param;t:time
Кабанова,агенс,t:hum;r:propn;t:famn
Кабанова,аудитория,t:hum;r:propn;t:famn
Феклуша,агенс,t:hum;r:propn;t:persn
Феклуша,адресат,t:hum;r:propn;t:persn
Феклуша,аудитория,t:hum;r:propn;t:persn
где,адресат,t:place;r:rel
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
время,аспект,r:abstr;t:param;t:time
лето,аспект,t:time:season;r:abstr;t:time
зима,аспект,t:time:season;r:abstr;t:time
нынче,аспект,der:adv;t:time
Дни,аспект,pc:day;r:abstr;pt:part;t:time
время,аспект,r:abstr;t:param;t:time
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
Кабанова,агенс,t:hum;r:propn;t:famn
Кабанова,аудитория,t:hum;r:propn;t:famn
Феклуша,агенс,t:hum;r:propn;t:persn
Феклуша,адресат,t:hum;r:propn;t:persn
Феклуша,аудитория,t:hum;r:propn;t:persn
Кабанова,агенс,t:hum;r:propn;t:famn
Кабанова,аудитория,t:hum;r:propn;t:famn
Глаша,агенс,d:dimb;t:hum;r:propn;t:persn
Глаша,адресат,d:dimb;t:hum;r:propn;t:persn
Глаша,аудитория,d:dimb;t:hum;r:propn;t:persn
Глаша,агенс,d:dimb;t:hum;r:propn;t:persn
Глаша,адресат,d:dimb;t:hum;r:propn;t:persn
Глаша,аудитория,d:dimb;t:hum;r:propn;t:persn
Тихон,агенс,t:hum;r:propn;t:persn
Тихон,адресат,t:hum;r:propn;t:persn
Тихон,аудитория,t:hum;r:propn;t:persn
Иваныч,агенс,t:hum;t:patrn;r:propn;der:s
Иваныч,аудитория,t:hum;t:patrn;r:propn;der:s
Кабанов,агенс,t:hum;r:propn;t:famn
Кабанов,аудитория,t:hum;r:propn;t:famn
Глаша,агенс,d:dimb;t:hum;r:propn;t:persn
Глаша,адресат,d:dimb;t:hum;r:propn;t:persn
Глаша,аудитория,d:dimb;t:hum;r:propn;t:persn
Дома,адресат,t:place;der:s
Кабанов,агенс,t:hum;r:propn;t:famn
Кабанов,аудитория,t:hum;r:propn;t:famn
там,адресат,t:place;r:dem
Глаша,агенс,d:dimb;t:hum;r:propn;t:persn
Глаша,адресат,d:dimb;t:hum;r:propn;t:persn
Глаша,аудитория,d:dimb;t:hum;r:propn;t:persn
хозяюшка,агенс,t:hum;r:concr;der:s;d:dim
хозяюшка,аудитория,t:hum;r:concr;der:s;d:dim
Кабанов,агенс,t:hum;r:propn;t:famn
Кабанов,аудитория,t:hum;r:propn;t:famn
Глаша,агенс,d:dimb;t:hum;r:propn;t:persn
Глаша,адресат,d:dimb;t:hum;r:propn;t:persn
Глаша,аудитория,d:dimb;t:hum;r:propn;t:persn
нигде,адресат,t:place;r:neg;der:advpro
Кабанов,агенс,t:hum;r:propn;t:famn
Кабанов,аудитория,t:hum;r:propn;t:famn
Кулигин,агенс,t:hum;r:propn;t:famn
Кулигин,аудитория,t:hum;r:propn;t:famn
Давно,аспект,t:time
Глаша,агенс,d:dimb;t:hum;r:propn;t:persn
Глаша,адресат,d:dimb;t:hum;r:propn;t:persn
Глаша,аудитория,d:dimb;t:hum;r:propn;t:persn
Кабанов,агенс,t:hum;r:propn;t:famn
Кабанов,аудитория,t:hum;r:propn;t:famn
Глаша,агенс,d:dimb;t:hum;r:propn;t:persn
Глаша,адресат,d:dimb;t:hum;r:propn;t:persn
Глаша,аудитория,d:dimb;t:hum;r:propn;t:persn
Кулигин,агенс,t:hum;r:propn;t:famn
Кулигин,аудитория,t:hum;r:propn;t:famn
Катерина,агенс,t:hum;r:propn;t:persn
Катерина,адресат,t:hum;r:propn;t:persn
Катерина,аудитория,t:hum;r:propn;t:persn
нигде,адресат,t:place;r:neg;der:advpro
теперь,аспект,t:time;r:dem
Ночи,аспект,pc:day;r:abstr;pt:part;t:time
ночи,аспект,pc:day;r:abstr;pt:part;t:time
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
нынче,аспект,der:adv;t:time
Прежде,аспект,dt:time;der:a;t:time
теперь,аспект,t:time;r:dem
тут,адресат,t:place;r:dem
издали,адресат,t:place;dt:dist:max;der:s
утра,аспект,pc:day;r:abstr;pt:part;t:time
издревле,аспект,dt:time:age:max;der:a;t:time
благородиям,агенс,t:hum;r:concr;der:a
благородиям,аудитория,t:hum;r:concr;der:a
Петра,агенс,t:hum;r:propn;t:persn
Петра,адресат,t:hum;r:propn;t:persn
Петра,аудитория,t:hum;r:propn;t:persn
Павла,агенс,t:hum;r:propn;t:persn
Павла,адресат,t:hum;r:propn;t:persn
Павла,аудитория,t:hum;r:propn;t:persn
день,аспект,pc:day;r:abstr;pt:part;t:time
душечка,агенс,t:hum;ev:posit;r:concr;der:s;d:dim
душечка,аудитория,t:hum;ev:posit;r:concr;der:s;d:dim
пансионе,агенс,r:concr;t:org
пансионе,адресат,r:concr;t:org
душечка,агенс,t:hum;ev:posit;r:concr;der:s;d:dim
душечка,аудитория,t:hum;ev:posit;r:concr;der:s;d:dim
Прасковья,агенс,t:hum;r:propn;t:persn
Прасковья,адресат,t:hum;r:propn;t:persn
Прасковья,аудитория,t:hum;r:propn;t:persn
Петровна,агенс,t:hum;t:patrn;r:propn;der:s
Петровна,аудитория,t:hum;t:patrn;r:propn;der:s
пору,аспект,t:space;r:abstr;t:time;pc:partb;r:concr;top:hole
кузов,агенс,t:tool;top:contain;t:famn;r:propn;t:hum;r:concr
кузов,аудитория,t:tool;top:contain;t:famn;r:propn;t:hum;r:concr
кучер,агенс,t:hum;r:concr;t:prof
кучер,аудитория,t:hum;r:concr;t:prof
Якова,агенс,t:hum;r:propn;t:famn;t:persn
Якова,адресат,t:hum;r:propn;t:famn;t:persn
Якова,аудитория,t:hum;r:propn;t:famn;t:persn
чёрное,атрибут,t:physq:color;r:qual
Володи,агенс,d:dimb;t:hum;r:propn;t:persn
Володи,адресат,d:dimb;t:hum;r:propn;t:persn
Володи,аудитория,d:dimb;t:hum;r:propn;t:persn
Филиппа,агенс,t:hum;r:propn;t:famn;t:persn
Филиппа,адресат,t:hum;r:propn;t:famn;t:persn
Филиппа,аудитория,t:hum;r:propn;t:famn;t:persn
издалёка,адресат,t:place;dt:dist:max;der:a
прежде,аспект,dt:time;der:a;t:time
чёрные,атрибут,t:physq:color;r:qual
теперь,аспект,t:time;r:dem
скорее,аспект,dt:speed:max;der:a;t:time
обыкновенно,аспект,der:a;t:time
время,аспект,r:abstr;t:param;t:time
красной,атрибут,t:physq:color;r:qual
везде,адресат,t:place;r:spec
где,адресат,t:place;r:rel
новые,аспект,t:time;r:qual
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
людей,агенс,t:hum;r:concr
людей,аудитория,t:hum;r:concr
всегда,аспект,r:spec;t:time
время,аспект,r:abstr;t:param;t:time
людей,агенс,t:hum;r:concr
людей,аудитория,t:hum;r:concr
степной,адресат,t:place;dt:space;r:rel;der:s
здесь,адресат,t:place;r:dem
накануне,аспект,der:s;t:time
вдове,агенс,t:famn;d:fem;r:propn;der:s;t:hum;r:concr
вдове,аудитория,t:famn;d:fem;r:propn;der:s;t:hum;r:concr
даме,агенс,t:hum;r:concr
даме,аудитория,t:hum;r:concr
день,аспект,pc:day;r:abstr;pt:part;t:time
Асе,агенс,d:dimb;t:hum;r:propn;t:persn
Асе,адресат,d:dimb;t:hum;r:propn;t:persn
Асе,аудитория,d:dimb;t:hum;r:propn;t:persn
Гагин,агенс,t:hum;r:propn;t:famn
Гагин,аудитория,t:hum;r:propn;t:famn
малый,агенс,t:hum;ev;r:concr;der:a;der:subst
малый,аудитория,t:hum;ev;r:concr;der:a;der:subst
тринадцатилетней,аспект,r:rel;t:time
девочкой,агенс,t:hum;r:concr
девочкой,аудитория,t:hum;r:concr
дни,аспект,pc:day;r:abstr;pt:part;t:time
потом,аспект,t:time
белое,атрибут,t:physq:color;r:qual
там,адресат,t:place;r:dem
человека,агенс,t:hum;r:concr
человека,аудитория,t:hum;r:concr
белая,атрибут,t:physq:color;r:qual
Ася,агенс,d:dimb;t:hum;r:propn;t:persn
Ася,адресат,d:dimb;t:hum;r:propn;t:persn
Ася,аудитория,d:dimb;t:hum;r:propn;t:persn
Маша,агенс,d:dimb;t:hum;r:propn;t:persn
Маша,адресат,d:dimb;t:hum;r:propn;t:persn
Маша,аудитория,d:dimb;t:hum;r:propn;t:persn
Маша,агенс,d:dimb;t:hum;r:propn;t:persn
Маша,адресат,d:dimb;t:hum;r:propn;t:persn
Маша,аудитория,d:dimb;t:hum;r:propn;t:persn
Чертопханов,агенс,t:hum;r:propn;t:famn
Чертопханов,аудитория,t:hum;r:propn;t:famn
голубчик,агенс,t:hum;ev:posit;r:concr;der:s;d:dim
голубчик,аудитория,t:hum;ev:posit;r:concr;der:s;d:dim
разлучница,агенс,t:hum;d:fem;r:concr;der:s
разлучница,аудитория,t:hum;d:fem;r:concr;der:s
где,адресат,t:place;r:rel
тут,адресат,t:place;r:dem
Машу,агенс,d:dimb;t:hum;r:propn;t:persn
Машу,адресат,d:dimb;t:hum;r:propn;t:persn
Машу,аудитория,d:dimb;t:hum;r:propn;t:persn
подруги,агенс,t:hum;d:fem;r:concr;der:s
подруги,аудитория,t:hum;d:fem;r:concr;der:s
прошедшем,аспект,r:abstr;t:time
теперь,аспект,t:time;r:dem
человек,агенс,t:hum;r:concr
человек,аудитория,t:hum;r:concr
девицы,агенс,t:hum;r:concr;der:s
девицы,аудитория,t:hum;r:concr;der:s
Бетховен,агенс,t:hum;r:propn;t:famn
Бетховен,аудитория,t:hum;r:propn;t:famn
ночные,аспект,dt:abstr;dt:time;r:rel;der:s;t:time
друзьями,агенс,t:hum;r:concr
друзьями,аудитория,t:hum;r:concr
хозяйки,агенс,t:hum;ev:posit;d:fem;r:concr;der:s
хозяйки,аудитория,t:hum;ev:posit;d:fem;r:concr;der:s
женщине,агенс,t:hum;r:concr
женщине,аудитория,t:hum;r:concr
вечерам,аспект,pc:day;r:abstr;pt:part;t:time
Поутру,аспект,der:s;t:time
Водович,агенс,t:hum;r:propn;t:famn
Водович,аудитория,t:hum;r:propn;t:famn
Простаков,агенс,t:hum;r:propn;t:famn
Простаков,аудитория,t:hum;r:propn;t:famn
там,адресат,t:place;r:dem
кулаков,агенс,pt:partb;r:concr;t:hum;pc:hum
кулаков,аудитория,pt:partb;r:concr;t:hum;pc:hum
Простакова,агенс,t:hum;r:propn;t:famn
Простакова,аудитория,t:hum;r:propn;t:famn
другом,агенс,t:hum;r:concr
другом,аудитория,t:hum;r:concr
Стародум,агенс,der:comp;t:hum;r:concr;ev:neg
Стародум,аудитория,der:comp;t:hum;r:concr;ev:neg
Простакову,агенс,t:hum;r:propn;t:famn
Простакову,аудитория,t:hum;r:propn;t:famn
Сударыня,агенс,t:hum;d:fem;r:concr;der:s
Сударыня,аудитория,t:hum;d:fem;r:concr;der:s
вслед,аспект,der:v;t:time
Эрастом,агенс,t:hum;r:propn;t:persn
Эрастом,адресат,t:hum;r:propn;t:persn
Эрастом,аудитория,t:hum;r:propn;t:persn
там,адресат,t:place;r:dem
где,адресат,t:place;r:rel
друга,агенс,t:hum;r:concr
друга,аудитория,t:hum;r:concr
Уже,аспект,t:time
Эрастом,агенс,t:hum;r:propn;t:persn
Эрастом,адресат,t:hum;r:propn;t:persn
Эрастом,аудитория,t:hum;r:propn;t:persn
Лиза,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Лиза,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Лиза,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
хижине,агенс,top:contain;t:famn;t:constr:hut;r:propn;ev:neg;t:hum;r:concr
хижине,аудитория,top:contain;t:famn;t:constr:hut;r:propn;ev:neg;t:hum;r:concr
дни,аспект,pc:day;r:abstr;pt:part;t:time
днями,аспект,pc:day;r:abstr;pt:part;t:time
Тогда,аспект,t:time;r:dem
Лиза,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Лиза,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Лиза,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
иногда,аспект,r:spec;t:time
златой,атрибут,der:s;dt:stuff;t:physq:color;r:qual
надежды,агенс,t:ment;t:hum;r:propn;r:abstr;t:persn
надежды,адресат,t:ment;t:hum;r:propn;r:abstr;t:persn
надежды,аудитория,t:ment;t:hum;r:propn;r:abstr;t:persn
розы,агенс,r:propn;t:plant;t:persn;r:concr;t:hum
розы,адресат,r:propn;t:plant;t:persn;r:concr;t:hum
розы,аудитория,r:propn;t:plant;t:persn;r:concr;t:hum
Лиза,агенс,d:dimb;t:hum;r:propn;der:s;t:persn
Лиза,адресат,d:dimb;t:hum;r:propn;der:s;t:persn
Лиза,аудитория,d:dimb;t:hum;r:propn;der:s;t:persn
майское,аспект,dt:abstr;dt:time:month;r:rel;der:s;t:time
утро,аспект,pc:day;r:abstr;pt:part;t:time
ночи,аспект,pc:day;r:abstr;pt:part;t:time
день,аспект,pc:day;r:abstr;pt:part;t:time
где,адресат,t:place;r:rel
садовнику,агенс,t:hum;r:concr;der:s;t:prof
садовнику,аудитория,t:hum;r:concr;der:s;t:prof
царица,агенс,t:hum;d:fem;r:concr;der:s
царица,аудитория,t:hum;d:fem;r:concr;der:s
баню,агенс,top:contain;t:constr:build;r:concr;t:org
баню,адресат,top:contain;t:constr:build;r:concr;t:org
комнатные,агенс,t:hum;r:propn;t:famn
комнатные,аудитория,t:hum;r:propn;t:famn
Тут,адресат,t:place;r:dem
царевна,агенс,t:hum;d:fem;r:concr;der:s;d:fil
царевна,аудитория,t:hum;d:fem;r:concr;der:s;d:fil
любви,агенс,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,адресат,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
любви,аудитория,r:propn;t:persn;t:psych:emot;r:abstr;t:hum
царица,агенс,t:hum;d:fem;r:concr;der:s
царица,аудитория,t:hum;d:fem;r:concr;der:s
царевну,агенс,t:hum;d:fem;r:concr;der:s;d:fil
царевну,аудитория,t:hum;d:fem;r:concr;der:s;d:fil
царь,агенс,t:hum;r:concr
царь,аудитория,t:hum;r:concr
Бовою,агенс,t:hum;r:propn;t:famn;t:persn
Бовою,адресат,t:hum;r:propn;t:famn;t:persn
Бовою,аудитория,t:hum;r:propn;t:famn;t:persn
цари,агенс,t:hum;r:concr
цари,аудитория,t:hum;r:concr
царевичи,агенс,d:masc;t:hum;r:concr;der:s;d:fil
царевичи,аудитория,d:masc;t:hum;r:concr;der:s;d:fil
богатыри,агенс,t:hum;r:concr
богатыри,аудитория,t:hum;r:concr
день,аспект,pc:day;r:abstr;pt:part;t:time
царевичи,агенс,d:masc;t:hum;r:concr;der:s;d:fil
царевичи,аудитория,d:masc;t:hum;r:concr;der:s;d:fil
богатыри,агенс,t:hum;r:concr
богатыри,аудитория,t:hum;r:concr
царь,агенс,t:hum;r:concr
царь,аудитория,t:hum;r:concr
царицей,агенс,t:hum;d:fem;r:concr;der:s
царицей,аудитория,t:hum;d:fem;r:concr;der:s
царевну,агенс,t:hum;d:fem;r:concr;der:s;d:fil
царевну,аудитория,t:hum;d:fem;r:concr;der:s;d:fil
друзьям,агенс,t:hum;r:concr
друзьям,аудитория,t:hum;r:concr
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
дома,адресат,t:place;der:s
девы,агенс,t:hum;r:concr
девы,аудитория,t:hum;r:concr
госпожи,агенс,t:hum;d:fem;r:concr;der:s
госпожи,аудитория,t:hum;d:fem;r:concr;der:s
северною,адресат,t:place;dt:space;r:rel;der:s
ворожбами,агенс,t:hum;r:propn;r:abstr;t:famn
ворожбами,аудитория,t:hum;r:propn;r:abstr;t:famn
царя,агенс,t:hum;r:concr
царя,аудитория,t:hum;r:concr
старухою,агенс,t:hum;d:fem;r:concr;der:s
старухою,аудитория,t:hum;d:fem;r:concr;der:s
всегда,аспект,r:spec;t:time
Гомер,агенс,t:hum;r:propn;t:persn
Гомер,адресат,t:hum;r:propn;t:persn
Гомер,аудитория,t:hum;r:propn;t:persn
Ахиллесе,агенс,t:hum;r:propn;t:persn
Ахиллесе,адресат,t:hum;r:propn;t:persn
Ахиллесе,аудитория,t:hum;r:propn;t:persn
Отсюда,адресат,t:place;der:advpro;r:dem
честолюбцам,агенс,der:comp;t:hum;r:concr;der:s;ev:neg
честолюбцам,аудитория,der:comp;t:hum;r:concr;der:s;ev:neg
друг,агенс,t:hum;r:concr
друг,аудитория,t:hum;r:concr
богатые,агенс,t:hum;der:a;r:concr;der:subst
богатые,аудитория,t:hum;der:a;r:concr;der:subst
Потом,аспект,t:time
отсюда,адресат,t:place;der:advpro;r:dem
Теперь,аспект,t:time;r:dem
подобны,атрибут,t:qual
везде,адресат,t:place;r:spec
внутри,адресат,t:place
Больной,агенс,t:hum;der:a;r:concr;der:subst
Больной,аудитория,t:hum;der:a;r:concr;der:subst
лекаря,агенс,der:v;t:hum;r:concr;d:nag
лекаря,аудитория,der:v;t:hum;r:concr;d:nag
приятель,агенс,t:hum;r:concr
приятель,аудитория,t:hum;r:concr
тогда,аспект,t:time;r:dem
величеству,агенс,t:hum;r:concr;der:s
величеству,аудитория,t:hum;r:concr;der:s
министры,агенс,t:hum;r:concr
министры,аудитория,t:hum;r:concr
Александра,агенс,t:hum;r:propn;t:persn
Александра,адресат,t:hum;r:propn;t:persn
Александра,аудитория,t:hum;r:propn;t:persn
братцы,агенс,t:hum;ev:posit;r:concr;der:s;d:dim
братцы,аудитория,t:hum;ev:posit;r:concr;der:s;d:dim
философа,агенс,der:comp;t:hum;r:concr;t:prof
философа,аудитория,der:comp;t:hum;r:concr;t:prof
доселе,адресат,t:place;r:dem
Диоген,агенс,t:hum;r:propn;t:persn
Диоген,адресат,t:hum;r:propn;t:persn
Диоген,аудитория,t:hum;r:propn;t:persn
дни,аспект,pc:day;r:abstr;pt:part;t:time
Сократ,агенс,t:hum;r:propn;t:persn
Сократ,адресат,t:hum;r:propn;t:persn
Сократ,аудитория,t:hum;r:propn;t:persn
темнице,агенс,t:hum;d:fem;r:concr;der:s
темнице,аудитория,t:hum;d:fem;r:concr;der:s
мудрец,агенс,t:hum;r:concr;der:a
мудрец,аудитория,t:hum;r:concr;der:a
подобны,атрибут,t:qual
Безбожник,агенс,t:hum;r:concr;der:a
Безбожник,аудитория,t:hum;r:concr;der:a
Феодор,агенс,t:hum;r:propn;t:persn
Феодор,адресат,t:hum;r:propn;t:persn
Феодор,аудитория,t:hum;r:propn;t:persn
правою,адресат,t:place;r:rel
слушатели,агенс,der:v;t:hum;r:concr;d:nag
слушатели,аудитория,der:v;t:hum;r:concr;d:nag
левою,адресат,t:place;r:qual
уже,аспект,t:time
господина,агенс,t:hum;r:concr
господина,аудитория,t:hum;r:concr
тогда,аспект,t:time;r:dem
люди,агенс,t:hum;r:concr
люди,аудитория,t:hum;r:concr
Юрасову,агенс,t:hum;r:propn;t:famn
Юрасову,аудитория,t:hum;r:propn;t:famn
всюду,адресат,t:place;r:spec
людей,агенс,t:hum;r:concr
людей,аудитория,t:hum;r:concr
иногда,аспект,r:spec;t:time
настоящего,аспект,r:rel;t:time
жёлтые,атрибут,t:physq:color;r:qual
крестьянин,агенс,t:hum;r:concr
крестьянин,аудитория,t:hum;r:concr
Фёдор,агенс,t:hum;r:propn;t:persn
Фёдор,адресат,t:hum;r:propn;t:persn
Фёдор,аудитория,t:hum;r:propn;t:persn
Юрасов,агенс,t:hum;r:propn;t:famn
Юрасов,аудитория,t:hum;r:propn;t:famn
вор,агенс,t:hum;r:concr
вор,аудитория,t:hum;r:concr
Генрих,агенс,t:hum;r:propn;t:persn
Генрих,адресат,t:hum;r:propn;t:persn
Генрих,аудитория,t:hum;r:propn;t:persn
Вальтер,агенс,t:hum;r:propn;t:persn
Вальтер,адресат,t:hum;r:propn;t:persn
Вальтер,аудитория,t:hum;r:propn;t:persn
теперь,аспект,t:time;r:dem
бухгалтера,агенс,t:hum;r:concr;der:s;t:prof
бухгалтера,аудитория,t:hum;r:concr;der:s;t:prof
Юрасов,агенс,t:hum;r:propn;t:famn
Юрасов,аудитория,t:hum;r:propn;t:famn
багровый,атрибут,t:physq:color;r:qual
жёлтых,атрибут,t:physq:color;r:qual
